video,vidFrame,totalFramesOnDetection,class,score,ymin,xmin,ymax,xmax
AI1 Potholes 004.MP4,553.0,10088.0,pothole,0.65739954,0.054275542,0.5689046,0.25601655,1.0
AI1 Potholes 004.MP4,565.0,10100.0,pothole,0.5629875,0.29425028,0.4818303,0.39914516,0.5968446
AI1 Potholes 004.MP4,589.0,10124.0,pothole,0.6566009,0.29453242,0.45644057,0.37224233,0.62281525
AI1 Potholes 004.MP4,829.0,10364.0,pothole,0.5745916,0.21736532,0.41976893,0.3079549,0.54815876
AI1 Potholes 005.MP4,18.0,10627.0,pothole,0.542183,0.019820834,0.6934715,0.055742137,0.7854859
AI1 Potholes 005.MP4,18.0,10627.0,pothole,0.542183,0.019820834,0.6934715,0.055742137,0.7854859
AI1 Potholes 005.MP4,49.0,10658.0,pothole,0.5722972,0.06646776,0.68538904,0.13979818,0.8034346
AI1 Potholes 005.MP4,61.0,10670.0,pothole,0.7085989,0.12850301,0.6996708,0.21201704,0.8515465
AI1 Potholes 005.MP4,61.0,10670.0,pothole,0.60938644,0.046914063,0.5939434,0.10107199,0.6887732
AI1 Potholes 005.MP4,73.0,10682.0,pothole,0.6991355,0.09141759,0.6229489,0.1704933,0.7388476
AI1 Potholes 005.MP4,85.0,10694.0,pothole,0.6999265,0.18711963,0.5707936,0.2980158,0.72087836
AI1 Potholes 005.MP4,85.0,10694.0,pothole,0.59886765,0.4763683,0.6040821,0.993989,0.9536059
AI1 Potholes 005.MP4,97.0,10706.0,pothole,0.65103185,0.3786862,0.45721233,0.5806622,0.67368877
AI1 Potholes 006.MP4,217.0,11979.0,pothole,0.6292309,0.26825872,0.0,0.98499215,0.992262
AI1 Potholes 006.MP4,229.0,11991.0,pothole,0.5115026,0.36342713,0.07843521,0.99907565,0.9254749
AI1 Potholes 006.MP4,241.0,12003.0,pothole,0.5309545,0.12909558,0.06351176,0.90283895,1.0
AI1 Potholes 006.MP4,433.0,12195.0,pothole,0.539692,0.23909701,0.6264034,0.30450934,0.70078486
AI1 Potholes 006.MP4,517.0,12279.0,pothole,0.6051839,0.107870825,0.42085868,0.17589128,0.58543235
AI1 Potholes 006.MP4,529.0,12291.0,pothole,0.58168536,0.274773,0.5169799,0.3927157,0.72581774
AI1 Potholes 007.MP4,181.0,12525.0,pothole,0.5426312,0.41683704,0.54833937,1.0,0.97775626
AI1 Potholes 007.MP4,541.0,12885.0,pothole,0.58680344,0.34330162,0.013828754,0.4493045,0.15073931
AI1 Potholes 007.MP4,541.0,12885.0,pothole,0.5856484,0.5763645,0.69509435,0.96731305,0.9472575
AI1 Potholes 007.MP4,589.0,12933.0,pothole,0.55201393,0.66586715,0.6993122,1.0,1.0
AI1 Potholes 007.MP4,685.0,13029.0,pothole,0.6074675,0.036921337,0.67131126,0.1945869,0.91264904
AI1 Potholes 007.MP4,697.0,13041.0,pothole,0.50238085,0.07751491,0.0,0.2887772,0.31287616
AI1 Potholes 007.MP4,769.0,13113.0,pothole,0.56690866,0.07592235,0.5237587,0.22753584,0.84855527
AI1 Potholes 007.MP4,949.0,13293.0,pothole,0.5119341,0.6693908,0.74012434,0.99181557,1.0
AI1 Potholes 007.MP4,961.0,13305.0,pothole,0.5144724,0.67839605,0.77410847,0.9873238,0.99813205
AI1 Potholes 007.MP4,1069.0,13413.0,pothole,0.80564433,0.39024264,0.0,0.993254,0.98289376
AI1 Potholes 007.MP4,1129.0,13473.0,pothole,0.54510176,0.5674343,0.7187445,0.93838096,1.0
AI1 Potholes 007.MP4,1141.0,13485.0,pothole,0.61814815,0.57140625,0.7201272,0.96166456,1.0
AI1 Potholes 008.MP4,61.0,13825.0,pothole,0.5854474,0.0,0.0,1.0,0.93667567
AI1 Potholes 008.MP4,121.0,13885.0,pothole,0.52295536,0.18151236,0.32838047,0.24110419,0.4878313
AI1 Potholes 008.MP4,361.0,14125.0,pothole,0.6142504,0.1023797,0.80562425,0.18215653,0.9384724
AI1 Potholes 008.MP4,517.0,14281.0,pothole,0.5248346,0.5718267,0.7439656,0.93677247,0.99159634
AI1 Potholes 008.MP4,781.0,14545.0,pothole,0.7193975,0.52649903,0.7429824,0.8671913,0.9958563
AI1 Potholes 008.MP4,889.0,14653.0,pothole,0.7366196,0.066971004,0.47105664,0.19583815,0.8130612
AI1 Potholes 009.MP4,265.0,14999.0,pothole,0.6440853,0.5295097,0.52272755,0.7868325,0.7617242
